cve_ent,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,pct_no_med_insurance,pct_med_insurance,pct_pop_obesity,pct_pop_hypertension,pct_pop_diabetes,pct_pop_0_4_years_old,pct_pop_5_9_years_old,pct_pop_10_14_years_old,pct_pop_15_19_years_old,pct_pop_20_24_years_old,pct_pop_25_29_years_old,pct_pop_30_34_years_old,pct_pop_35_39_years_old,pct_pop_40_44_years_old,pct_pop_45_49_years_old,pct_pop_50_54_years_old,pct_pop_55_59_years_old,pct_pop_60_64_years_old,pct_pop_65_69_years_old,pct_pop_70_74_years_old,pct_pop_75_79_years_old,pct_pop_80_84_years_old,pct_pop_85_89_years_old,pct_pop_90_94_years_old,pct_pop_95_99_years_old,pct_pop_100_and_more_years_old,average_years_finish,average_household_size,pct_household_tics,pct_household_no_tics,retail_and_recreation_mobility,grocery_and_pharmacy_mobility,parks_percent_mobility,transit_stations_mobility,workplaces_mobility,residential_mobility,population/sqkm
1,1992.5625681793624,133.34402130158543,171.19336974212953,5.92485196583103,4.96948701237597,11.534780623642948,1.4058628152805417,82.10715617561262,18.268618847302623,80.93619631474208,32.5933866314846,14.7005662350609,7.55647792941045,8.673286236568883,8.673286236568883,9.041812028843571,9.19864634558616,8.853819961174795,8.25478257535889,7.446144838234116,6.91862390085283,6.439129116465164,5.901779895234677,5.166540618345432,4.103134246689924,3.367128224252162,2.497011434964294,1.7834501458559144,1.155764358181698,0.7100063779288809,0.3886702889585156,0.1679869792665033,0.0554844960564882,0.007806863766742,10.35,3.68,99.5572461799221,0.4427538200778895,25.42581888246628,-0.7167630057803468,26.26782273603083,33.957610789980734,17.951830443159924,-9.001926782273603,258.0894365265785
2,1470.4247857143644,92.16290660348602,237.9178556140141,4.786968880300468,4.180206819064682,9.938985404696952,1.4448667737040244,88.41215141787816,23.00818076474854,79.92766174727666,48.3669952599269,21.0077116050251,9.9748483286637,7.326290803407441,7.326290803407441,8.593104343816611,8.683644082811261,9.363723799598777,9.030424213479003,8.31911915370792,8.035202378738376,7.52739851901087,7.176161555247673,6.090675094666436,4.639865876835142,3.6871215130783295,2.6054316140228475,1.7999278103083798,1.124497505824145,0.6933951934430632,0.3425433880955237,0.1336499702327567,0.0415971088908868,0.0069328514818144,10.2,3.26,99.165994291996,0.8340057080040004,23.98073217726397,-4.48747591522158,24.39884393063584,19.418111753371868,17.33718689788054,-8.79961464354528,49.442754262653466
3,6304.8956888709945,2080.3819522112367,184.6632567341197,14.415166743713248,4.396998662869016,11.21313569642653,1.2952524393941651,82.41710036435576,16.06421211172251,82.5295635186925,42.8491180329462,16.5369113279593,8.3697496817989,7.761200336022507,7.761200336022507,8.408640152701352,8.135746134001403,8.294064430824598,8.549436565810208,8.422806782087415,8.06839251007819,7.380192566744707,6.433513771454988,5.385431734243975,4.191706805449927,3.367059852766469,2.395154515675251,1.5589505758610578,1.0147780312858825,0.577725087857956,0.3176307430769919,0.1163154833803069,0.0412572013699379,0.0068347773353812,10.34,3.3,98.91544820932516,1.0845517906748507,29.95953757225433,7.40655105973025,29.190751445086704,23.556840077071293,23.728323699421967,-9.028901734104046,10.878741689347564
4,1556.839430071646,491.8964998595866,126.42199762746388,5.596546930543854,5.222677607915916,11.288634912259136,1.2306406946913755,75.28065183781607,20.31786387798728,71.92332330951803,44.9038106280785,26.1081540457128,14.0079169834951,7.888632713615699,7.888632713615699,8.011856684425709,7.609305058778734,7.550941069360205,7.275311133030921,7.266416620944876,7.02316670614231,6.413043152374985,5.759246544881808,5.022301240134837,4.077983883943607,3.2757788444529727,2.578009368219808,1.7548172777396347,1.190865236149296,0.7531353155103301,0.4410278857944648,0.1766909816643131,0.0700567749698436,0.0148908123687684,9.63,3.55,95.38671013519992,4.613289864800077,33.08477842003854,6.94990366088632,40.76685934489403,30.210019267822737,22.940269749518304,-11.789980732177264,17.476648938290214
5,2325.7381816374213,176.06377690510513,198.09116667495155,2.081572799125118,4.188497290848536,9.399481781577771,1.0896567579658996,83.38050529402993,18.559334145250286,78.93535318387434,37.606715494255,22.3975506822411,12.3438058099958,8.696376199234477,8.696376199234477,8.330765024606054,8.366182830441915,8.211742556047124,7.64021101555898,6.969509618730426,6.823644181538002,6.794222548093652,6.375267186956306,5.536797236168415,4.418371278023562,3.695568424715415,2.622843863399115,1.9164139782273697,1.2365474474325198,0.7720770989710195,0.3881977929114679,0.1463935974548889,0.0437440970323606,0.006648605656907,10.43,3.48,99.36129330889804,0.6387066911019522,22.452793834296724,0.6358381502890174,29.10211946050096,23.63005780346821,16.30635838150289,-8.344894026974952,21.362539814856483
6,2322.0951839959857,779.3385493018558,154.1100906447533,4.330366183406292,5.079264805713027,11.122036087233951,1.2777127515274094,76.11433695088728,15.675161401663114,77.17565875695564,43.1901103234958,17.2229312056167,10.8273261361938,6.6627778280156855,6.6627778280156855,7.743841009331939,7.726264817175761,7.558144718290576,7.391552983940709,7.315262120885993,6.949728269521992,6.51834737942796,6.0030338036026105,5.290815930143552,4.434677062941873,3.794801777487954,2.811044471587066,2.0487726595962825,1.3759101729217107,0.8735876956465809,0.4614387259553233,0.200088390415626,0.07654559047727,0.018849829268945,10.05,3.21,98.81068357041784,1.1893164295821523,25.815028901734102,3.046242774566474,24.45086705202312,24.95761078998073,16.495183044315993,-7.880539499036609,136.47104041937402
7,282.8091115281098,77.04567613208718,28.863770854467084,0.7154864601167779,3.9766737453290513,7.333928175978956,0.9294169116916944,84.52856509888458,31.669559733259668,64.5449584642659,28.9546146639838,16.2328036769217,7.79036305495578,10.019462976804103,10.019462976804103,10.17617196245895,9.189236919729574,8.106339436898196,7.406209759340021,6.911337441389007,6.506790926305419,5.7449025516166765,4.961863699131312,4.255364446989172,3.426569362834876,2.769909850451114,2.194920499856292,1.498246098373804,1.1021632645867183,0.6674092601747846,0.3811099707924466,0.1544927227174106,0.0672731781402482,0.0252863385538831,7.78,4.09,88.77480250151181,11.225197498488184,25.229287090558767,2.664739884393064,33.641618497109825,30.502890173410403,18.05009633911368,-9.16184971098266,77.84561264234307
8,1604.1091288750954,91.04332067951304,197.10707941392403,10.75894774860469,4.413746515508273,10.381148219104787,1.2968346333947742,82.71047618997514,15.1021955355891,83.02787830130683,38.6672017017746,22.6022007897054,9.25005776298834,7.662422625672533,7.662422625672533,8.77853850348561,8.584351334096368,8.261688123621099,7.846903067141884,7.250952061653769,6.935943750432397,6.628537727473487,6.537494406793972,5.785367673228923,4.567659970953471,3.705418432313461,2.655381959743648,1.947080182044553,1.3222457422582268,0.825650594096468,0.4011588096973631,0.1414183449792147,0.038853217175279,0.0063922354594399,10.0,3.25,98.24161829037983,1.7583817096201573,26.82273603082852,-0.2890173410404624,25.277456647398843,34.238921001926784,16.64547206165703,-8.842003853564547,15.392295753023976
9,9027.209741596436,1611.3063547794598,382.07513434667845,7.096409715650188,5.47298402365322,12.653985160741996,1.612526050199337,83.0448365580417,27.75127527472253,74.16870272640735,36.3397995184931,20.2074742248511,12.6655360912705,5.321242825280295,5.321242825280295,6.752256020721516,7.211604403987517,7.923640413831567,8.341485888401195,8.245263007913051,7.82656374654951,7.432457980106768,7.41735593318065,6.913266904285511,5.837318133710774,5.206037048802785,3.949551179805835,2.9687830045422565,1.9428084817619495,1.302634708429038,0.735321104223528,0.3191166744006444,0.1005250788782572,0.01450328735636,11.48,3.32,99.61804130799084,0.3819586920091615,40.385356454720615,9.260115606936417,41.115606936416185,38.18111753371869,31.10597302504817,-15.146435452793837,6068.326502764664
10,2089.250057249989,246.28196101008243,133.49413267872163,3.691821705343404,5.454960845288059,11.65599070302986,1.2026242966812128,80.21317327591926,24.68673020166977,73.12294943381367,37.5827020323626,20.2497377617164,10.9002506069187,8.96738141761673,8.96738141761673,9.1102923708772,8.720724923969875,8.217674088120038,7.549882396752053,6.93024490154072,6.357959032550096,6.151752063674828,5.78224886516611,5.190433794400844,4.280212477715308,3.5599862171989667,2.660626346979876,1.9773183035169688,1.3744812722980682,0.910970381959084,0.4837891573871747,0.1783310397668052,0.0541467183450365,0.0084002319962161,9.75,3.69,97.47902563915592,2.520974360844079,23.691714836223507,0.348747591522158,27.08285163776493,6.641618497109826,16.552986512524086,-8.038535645472061,15.303181541627907
